,Song 1970,Song 1971,Song 1972,Song 1973,Song 1974,Song 1975,Song 1976,Song 1977,Song 1978,Song 1979,Song 1980,Song 1981,Song 1982,Song 1983,Song 1984,Song 1985,Song 1986,Song 1987,Song 1988,Song 1989,Song 1990,Song 1991,Song 1992,Song 1993,Song 1994,Song 1995,Song 1996,Song 1997,Song 1998,Song 1999,Song 2000,Song 2001,Song 2002,Song 2003,Song 2004,Song 2005,Song 2006,Song 2007,Song 2008,Song 2009,Song 2010,Song 2011,Song 2012,Song 2013,Song 2014,Song 2015,Song 2016,Song 2017,Song 2018,Song 2019
0,Bridge Over Troubled Water,Joy To The World,Alone Again (Naturally),"Bad, Bad Leroy Brown",The Way We Were,Love Will Keep Us Together,Silly Love Songs,Tonight's The Night (Gonna Be Alright),Shadow Dancing,My Sharona,Magic,Bette Davis Eyes,Physical,Every Breath You Take,When Doves Cry,Like A Virgin,That's What Friends Are For,ALONE,Faith,Look Away,Hold On,Bad Day,Bad Day,Bad Day,Bad Day,Bad Day,Bad Day,Bad Day,Bad Day,Bad Day,Bad Day,Bad Day,Bad Day,Bad Day,Bad Day,Bad Day,Bad Day,Irreplaceable,Low,Boom Boom Pow,TiK ToK,Rolling In The Deep,Somebody That I Used To Know,Thrift Shop,Happy,Uptown Funk!,Love Yourself,Shape Of You,God's Plan,Old Town Road
1,(They Long To Be) Close To You,Maggie May/Reason To Believe,American Pie (Parts I & II),Killing Me Softly With His Song,Seasons In The Sun,Rhinestone Cowboy,Don't Go Breaking My Heart,I Just Want To Be Your Everything,Night Fever,BAD GIRLS,Rock With You,Lady,I Love Rock 'N' Roll,Billie Jean,What's Love Got To Do With It,Wake Me Up Before You Go-Go,I MISS YOU,Shake You Down,Need You Tonight,My Prerogative,Nothing Compares 2 U,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Umbrella,Bleeding Love,Poker Face,Need You Now,Party Rock Anthem,Call Me Maybe,Blurred Lines,Dark Horse,Thinking Out Loud,Sorry,Despacito,Perfect,Sunflower (Spider-Man: Into The Spider-Verse)
2,American Woman/No Sugar Tonight,It's Too Late/I Feel The Earth Move,Without You,Let's Get It On,Love's Theme,Philadelphia Freedom,Disco Lady,Best Of My Love,You Light Up My Life,Le Freak,Do That To Me One More Time,Starting Over,Don't You Want Me,Down Under,Footloose,I Want To Know What Love Is,ON MY OWN,I Wanna Dance With Somebody (Who Loves Me),Got My Mind Set On You,Every Rose Has Its Thorn,Poison,Promiscuous,Promiscuous,Promiscuous,Promiscuous,Promiscuous,Promiscuous,Promiscuous,Promiscuous,Promiscuous,Promiscuous,Promiscuous,Promiscuous,Promiscuous,Promiscuous,Promiscuous,Promiscuous,The Sweet Escape,No One,Just Dance,"Hey, Soul Sister",Firework,We Are Young,Radioactive,All Of Me,See You Again,One Dance,That's What I Like,Meant To Be,Without Me
3,Raindrops Keep Fallin' On My Head,How Can You Mend A Broken Heart,I Gotcha,Crocodile Rock,Come And Get Your Love,Before The Next Teardrop Falls,Play That Funky Music,Angel In Your Arms,Stayin' Alive,DO YA THINK I'm SEXY,Crazy Little Thing Called Love,Jessie's Girl,Hurts So Good,Beat It,Against All Odds (Take A Look At Me Now),I Feel For You,Broken Wings,Nothing's Gonna Stop Us Now,Never Gonna Give You Up,Straight Up,Vogue,You're Beautiful,You're Beautiful,You're Beautiful,You're Beautiful,You're Beautiful,You're Beautiful,You're Beautiful,You're Beautiful,You're Beautiful,You're Beautiful,You're Beautiful,You're Beautiful,You're Beautiful,You're Beautiful,You're Beautiful,You're Beautiful,Big Girls Don't Cry,Lollipop,I Gotta Feeling,California Gurls,E.T.,Payphone,Harlem Shake,Fancy,Trap Queen,Work,Humble.,Havana,Bad Guy
4,War,Go Away Little Girl,Lean On Me,Will It Go Round In Circles,Dancing Machine,My Eyes Adored You,50 Ways To Leave Your Lover,I Like Dreamin',KISS YOU ALL OVER,Reunited,Funkytown,Celebration,Abracadabra,Total Eclipse Of The Heart,Jump,Everybody Wants To Rule The World,How Will I Know,C'est La Vie,Sweet Child O' Mine,Miss You Much,Vision Of Love,Hips Don't Lie,Hips Don't Lie,Hips Don't Lie,Hips Don't Lie,Hips Don't Lie,Hips Don't Lie,Hips Don't Lie,Hips Don't Lie,Hips Don't Lie,Hips Don't Lie,Hips Don't Lie,Hips Don't Lie,Hips Don't Lie,Hips Don't Lie,Hips Don't Lie,Hips Don't Lie,Buy U A Drank (Shawty Snappin'),Apologize,Love Story,OMG,Give Me Everything,Lights,Can't Hold Us,Counting Stars,Sugar,Stressed Out,Something Just Like This,Rockstar,Wow.
5,Ain't No Mountain High Enough,Just My Imagination (Running Away With Me),Baby Don't Get Hooked On Me,You're So Vain,Tsop,Some Kind Of Wonderful,Love Is Alive,DON't LEAVE ME THIS WAY,How Deep Is Your Love,I Will Survive,The Rose,I Love A Rainy Night,Hard To Say I'm Sorry,Maniac,Hello,Money For Nothing,Party All The Time,Here I Go Again,So Emotional,Cold Hearted,Another Day In Paradise,Unwritten,Unwritten,Unwritten,Unwritten,Unwritten,Unwritten,Unwritten,Unwritten,Unwritten,Unwritten,Unwritten,Unwritten,Unwritten,Unwritten,Unwritten,Unwritten,Before He Cheats,No Air,Right Round,Airplanes,Grenade,Glad You Came,Mirrors,Talk Dirty,Shut Up And Dance,Panda,Bad And Boujee,Psycho,Happier
6,I'll Be There,Tired Of Being Alone,Brand New Key,Touch Me In The Morning,The Streak,Fame,A Fifth Of Beethoven,(your Love Has Lifted Me) Higher And Higher,Baby Come Back,Hot Stuff,Escape,9 To 5,Tainted Love,Sweet Dreams (Are Made Of This),Ghostbusters,Crazy For You,Burning Heart,The Way It Is,Heaven Is A Place On Earth,"Baby, I Love Your Way/Freebird Medley",Hold On,Crazy,Crazy,Crazy,Crazy,Crazy,Crazy,Crazy,Crazy,Crazy,Crazy,Crazy,Crazy,Crazy,Crazy,Crazy,Crazy,Hey There Delilah,Love Song,I'm Yours,Love The Way You Lie,Super Bass,Stronger (What Doesn't Kill You),Just Give Me A Reason,Rude,Blank Space,Hello,Closer,I Like It,7 Rings
7,Get Ready,Want Ads,Daddy Don't You Walk So Fast,The Night The Lights Went Out In Georgia,Bennie And The Jets,Laughter In The Rain,Afternoon Delight,Undercover Angel,Love Is Thicker Than Water,Y.M.C.A.,Cars,Keep On Loving You,Chariots Of Fire,Do You Really Want To Hurt Me,KARMA CHAMELEON,Take On Me,Kyrie,Livin' On A Prayer,Could've Been,GIVING YOU THE BEST THAT I GOT,Do Me!,Ridin',Ridin',Ridin',Ridin',Ridin',Ridin',Ridin',Ridin',Ridin',Ridin',Ridin',Ridin',Ridin',Ridin',Ridin',Ridin',I Wanna Love You,Love In This Club,Single Ladies (Put A Ring On It),Bad Romance,Moves Like Jagger,We Found Love,When I Was Your Man,All About That Bass,Watch Me,Don't Let Me Down,Body Like A Back Road,The Middle,Talk
8,Let It Be,Treat Her Like A Lady,Let's Stay Together,Playground In My Mind,One Hell Of A Woman,One Of These Nights,I Write The Songs,Torn Between Two Lovers,Boogie Oogie Oogie,Ring My Bell,CRUISIN',Morning Train,Harden My Heart,You And I,Missing You,Everytime You Go Away,Addicted To Love,La Bamba,Hands To Heaven,Right Here Waiting,How Am I Supposed To Live Without You,SexyBack,SexyBack,SexyBack,SexyBack,SexyBack,SexyBack,SexyBack,SexyBack,SexyBack,SexyBack,SexyBack,SexyBack,SexyBack,SexyBack,SexyBack,SexyBack,Say It Right,With You,Heartless,Dynamite,Just Can't Get Enough,Starships,Cruise,Problem,Earned It (Fifty Shades Of Grey),Can't Stop The Feeling!,Believer,In My Feelings,Sicko Mode
9,Band Of Gold,BROWN SUGAR,Brandy (You're A Fine Girl),Delta Dawn,Until You Come Back To Me (That's What I'm Gonna Do),Thank God I'm A Country Boy,"Fly, Robin, Fly",Dancing Queen,Three Times A Lady,Sad Eyes,Lost In Love,Being With You,Rosanna,Shame On The Moon,All Night Long (All Night),Easy Lover,Greatest Love Of All,Everybody Have Fun Tonight,Roll With It,Waiting For A Star To Fall,Opposites Attract,Check On It,Check On It,Check On It,Check On It,Check On It,Check On It,Check On It,Check On It,Check On It,Check On It,Check On It,Check On It,Check On It,Check On It,Check On It,Check On It,Glamorous,Forever,Gives You Hell,Break Your Heart,On The Floor,What Makes You Beautiful,Roar,Stay With Me,The Hills,Closer,Congratulations,Girls Like You,Sucker
10,Mama Told Me (Not To Come),You've Got A Friend,Oh Girl,Frankenstein,Jungle Boogie,Jive Talkin',Love Hangover,You Make Me Feel Like Dancing,Grease,Too Much Heaven,Little Jeannie,Queen Of Hearts,867-5309/jenny,She Works Hard For The Money,Let's Hear It For The Boy,Can't Fight This Feeling,Secret Lovers,Don't Dream It's Over,One More Try,Lost In Your Eyes,Escapade,Be Without You,Be Without You,Be Without You,Be Without You,Be Without You,Be Without You,Be Without You,Be Without You,Be Without You,Be Without You,Be Without You,Be Without You,Be Without You,Be Without You,Be Without You,Be Without You,Don't Matter,Sexy Can I,You Belong With Me,Nothin' On You,S&M,Wild Ones,Locked Out Of Heaven,Timber,Cheerleader,Cheap Thrills,Say You Won't Let Go,Nice For What,High Hopes
11,Everything Is Beautiful,Mr. Big Stuff,Nice To Be With You,Little Willy,Midnight At The Oasis,Best Of My Love,Get Closer,Margaritaville,I Go Crazy,When You're In Love With A Beautiful Woman,Ride Like The Wind,Rapture,Key Largo,Never Gonna Let You Go,Dancing In The Dark,We Built This City,Friends And Lovers,Always,Wishing Well,Don't Wanna Lose You,All I Wanna Do Is Make Love To You,Grillz,Grillz,Grillz,Grillz,Grillz,Grillz,Grillz,Grillz,Grillz,Grillz,Grillz,Grillz,Grillz,Grillz,Grillz,Grillz,Girlfriend,Take A Bow,Dead And Gone,I Like It,Pumped Up Kicks,Set Fire To The Rain,Ho Hey,Pompeii,Can't Feel My Face,7 Years,I'm The One,Lucid Dreams,"Thank U, Next"
12,Make It With You,Do You Know What I Mean,My Ding-A-Ling,You Are The Sunshine Of My Life,You Make Me Feel Brand New,Lovin' You,"More, More, More",Telephone Line,You're The One That I Want,Makin' It,Upside Down,A Woman Needs Love,You Should Hear How She Talks About You,Hungry Like The Wolf,Girls Just Want To Have Fun,The Power Of Love,West End Girls,Looking For A New Love,Anything For You/No Te Olvidare,Heaven,Close To You,Over My Head (Cable Car),Over My Head (Cable Car),Over My Head (Cable Car),Over My Head (Cable Car),Over My Head (Cable Car),Over My Head (Cable Car),Over My Head (Cable Car),Over My Head (Cable Car),Over My Head (Cable Car),Over My Head (Cable Car),Over My Head (Cable Car),Over My Head (Cable Car),Over My Head (Cable Car),Over My Head (Cable Car),Over My Head (Cable Car),Over My Head (Cable Car),Makes Me Wonder,Viva La Vida,You Found Me,BedRock,Last Friday Night (T.G.I.F.),Sexy And I Know It,Stay,Shake It Off,Love Me Like You Do,Needed Me,XO TOUR Llif3,Better Now,Truth Hurts
13,Hitchin' A Ride,The Night They Drove Old Dixie Down,Heart Of Gold,Half Breed,Show And Tell,Kung Fu Fighting,Bohemian Rhapsody,Whatcha Gonna Do?,Emotion,Fire,Babe,The Tide Is High,Waiting For A Girl Like You,Let's Dance,The Reflex,Don't You (Forget About Me),There'll Be Sad Songs (To Make You Cry),I Think We're Alone Now,The Flame,Girl I'm Gonna Miss You,Black Velvet,Me & U,Me & U,Me & U,Me & U,Me & U,Me & U,Me & U,Me & U,Me & U,Me & U,Me & U,Me & U,Me & U,Me & U,Me & U,Me & U,Party Like A Rockstar,I Kissed A Girl,Use Somebody,In My Head,Just The Way You Are,Some Nights,Get Lucky,Am I Wrong,Take Me To Church,My House,Mask Off,Finesse,Dancing With A Stranger
14,ABC,What's Going On,"Betcha By Golly, Wow",That Lady,Rock On,Black Water,Misty Blue,Sir Duke,Lay Down Sally,Tragedy,With You I'm Born Again,Just The Two Of Us,Don't Talk To Strangers,Twilight Zone,Time After Time,Cherish,Alive And Kicking,Mony Mony,"Get Outta My Dreams, Get Into My Car",The Look,Release Me,Buttons,Buttons,Buttons,Buttons,Buttons,Buttons,Buttons,Buttons,Buttons,Buttons,Buttons,Buttons,Buttons,Buttons,Buttons,Buttons,Smack That,Whatever You Like,Knock You Down,Rude Boy,Tonight (I'm Lovin' You),Wide Awake,Royals,Turn Down For What,Bad Blood,I Took A Pill In Ibiza,Unforgettable,Boo'd Up,Senorita
15,The Love You Save/I Found That Girl,Uncle Albert/Admiral Halsey,I'll Take You There,We're An American Band,Sunshine On My Shoulders,Ballroom Blitz,Boogie Fever,Hotel California,Miss You,A Little More Love,Shining Star,Slow Hand,The Sweetest Thing,I Know There's Something Going On,Jump (for My Love),St. Elmo's Fire (Man In Motion),Never,At This Moment,Seasons Change,Two Hearts,Don't Know Much,Run It!,Run It!,Run It!,Run It!,Run It!,Run It!,Run It!,Run It!,Run It!,Run It!,Run It!,Run It!,Run It!,Run It!,Run It!,Run It!,This Is Why I'm Hot,Disturbia,Blame It,Telephone,Raise Your Glass,Good Feeling,I Knew You Were Trouble.,The Monster,Lean On,Work From Home,24K Magic,New Rules,I Don't Care
16,Cracklin' Rosie,Signs,Ben,"Right Place, Wrong Time",Hooked On A Feeling,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,I'd Really Love To See You Tonight,Got To Give It Up (Pt. 1),Just The Way You Are,Heart Of Glass,Still,I Love You,Always On My Mind,Electric Avenue,Talking In Your Sleep,The Heat Is On,Kiss,The Lady In Red,Is This Love,Blame It On The Rain,All Around The World,So Sick,So Sick,So Sick,So Sick,So Sick,So Sick,So Sick,So Sick,So Sick,So Sick,So Sick,So Sick,So Sick,So Sick,So Sick,So Sick,It's Not Over,Don't Stop The Music,I Know You Want Me (Calle Ocho),Teenage Dream,Born This Way,Whistle,We Can't Stop,Say Something,Want To Want Me,This Is What You Came For,Stay,Sad!,Eastside
17,Candida,She's A Lady,Slippin' Into Darkness,Wildflower,Band On The Run,He Don't Love You (Like I Love You),Love Hurts,Theme From Rocky (gonna Fly Now),With A Little Luck,What A Fool Believes,Sexy Eyes,Woman,Shake It Up,She Blinded Me With Science,Self Control,We Are The World,Higher Love,Didn't We Almost Have It All,"Wild, Wild West",Listen To Your Heart,I Wanna Be Rich,It's Goin' Down,It's Goin' Down,It's Goin' Down,It's Goin' Down,It's Goin' Down,It's Goin' Down,It's Goin' Down,It's Goin' Down,It's Goin' Down,It's Goin' Down,It's Goin' Down,It's Goin' Down,It's Goin' Down,It's Goin' Down,It's Goin' Down,It's Goin' Down,The Way I Are,Pocketful Of Sunshine,Live Your Life,Just The Way You Are,F**kin' Perfect,One More Night,Wrecking Ball,Team,Shake It Off,Cake By The Ocean,Wild Thoughts,Never Be The Same,Going Bad
18,Spirit In The Sky,Amos Moses,A Horse With No Name,Superstition,The Most Beautiful Girl,At Seventeen,Get Up And Boogie,Southern Nights,If I Can't Have You,GOOD TIMES,Steal Away,Sukiyaki,Let It Whip,Africa,Let's Go Crazy,Shout,Stuck With You,I Still Haven't Found What I'm Looking For,Pour Some Sugar On Me,I'll Be There For You,Rub You The Right Way,SOS,SOS,SOS,SOS,SOS,SOS,SOS,SOS,SOS,SOS,SOS,SOS,SOS,SOS,SOS,SOS,Fergalicious,Kiss Kiss,Kiss Me Thru The Phone,Cooler Than Me,What's My Name?,Drive By,Wake Me Up!,Let Her Go,Where Are U Now,"Me, Myself & I",Black Beatles,Love Lies,Shallow
