,Artist 1970,Artist 1971,Artist 1972,Artist 1973,Artist 1974,Artist 1975,Artist 1976,Artist 1977,Artist 1978,Artist 1979,Artist 1980,Artist 1981,Artist 1982,Artist 1983,Artist 1984,Artist 1985,Artist 1986,Artist 1987,Artist 1988,Artist 1989,Artist 1990,Artist 1991,Artist 1992,Artist 1993,Artist 1994,Artist 1995,Artist 1996,Artist 1997,Artist 1998,Artist 1999,Artist 2000,Artist 2001,Artist 2002,Artist 2003,Artist 2004,Artist 2005,Artist 2006,Artist 2007,Artist 2008,Artist 2009,Artist 2010,Artist 2011,Artist 2012,Artist 2013,Artist 2014,Artist 2015,Artist 2016,Artist 2017,Artist 2018,Artist 2019
0,Simon & Garfunkel,Three Dog Night,Gilbert O'Sullivan,Jim Croce,Barbra Streisand,Captain & Tennille,Wings,Rod Stewart,Andy Gibb,The Knack,Olivia Newton-John,Kim Carnes,Olivia Newton-John,The Police,Prince,Madonna,Dionne & Friends,Heart,George Michael,Chicago,Wilson Phillips,Daniel Powter,Daniel Powter,Daniel Powter,Daniel Powter,Daniel Powter,Daniel Powter,Daniel Powter,Daniel Powter,Daniel Powter,Daniel Powter,Daniel Powter,Daniel Powter,Daniel Powter,Daniel Powter,Daniel Powter,Daniel Powter,Beyonce,Flo Rida Featuring T-Pain,The Black Eyed Peas,Ke$ha,Adele,Gotye Featuring Kimbra,Macklemore & Ryan Lewis Featuring Wanz,Pharrell Williams,Mark Ronson Featuring Bruno Mars,Justin Bieber,Ed Sheeran,Drake,Lil Nas X Featuring Billy Ray Cyrus
1,Carpenters,Rod Stewart,Don McLean,Roberta Flack,Terry Jacks,Glen Campbell,Elton John & Kiki Dee,Andy Gibb,Bee Gees,Donna Summer,Michael Jackson,Kenny Rogers,Joan Jett & the Blackhearts,Michael Jackson,Tina Turner,Wham!,Klymaxx,Gregory Abbott,INXS,Bobby Brown,Sinead O'Connor,Sean Paul,Sean Paul,Sean Paul,Sean Paul,Sean Paul,Sean Paul,Sean Paul,Sean Paul,Sean Paul,Sean Paul,Sean Paul,Sean Paul,Sean Paul,Sean Paul,Sean Paul,Sean Paul,Rihanna Featuring Jay-Z,Leona Lewis,Lady Gaga,Lady Antebellum,LMFAO Featuring Lauren Bennett & GoonRock,Carly Rae Jepsen,Robin Thicke Featuring T.I. + Pharrell,Katy Perry Featuring Juicy J,Ed Sheeran,Justin Bieber,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Ed Sheeran,Post Malone & Swae Lee
2,The Guess Who,Carole King,Nilsson,Marvin Gaye,Love Unlimited Orchestra,Elton John,Johnnie Taylor,The Emotions,Debby Boone,Chic,Captain & Tennille,John Lennon,The Human League,Men At Work,Kenny Loggins,Foreigner,Patti LaBelle & Michael McDonald,Whitney Houston,George Harrison,Poison,Bell Biv DeVoe,Nelly Furtado Featuring Timbaland,Nelly Furtado Featuring Timbaland,Nelly Furtado Featuring Timbaland,Nelly Furtado Featuring Timbaland,Nelly Furtado Featuring Timbaland,Nelly Furtado Featuring Timbaland,Nelly Furtado Featuring Timbaland,Nelly Furtado Featuring Timbaland,Nelly Furtado Featuring Timbaland,Nelly Furtado Featuring Timbaland,Nelly Furtado Featuring Timbaland,Nelly Furtado Featuring Timbaland,Nelly Furtado Featuring Timbaland,Nelly Furtado Featuring Timbaland,Nelly Furtado Featuring Timbaland,Nelly Furtado Featuring Timbaland,Gwen Stefani Featuring Akon,Alicia Keys,Lady Gaga Featuring Colby O'Donis,Train,Katy Perry,fun. Featuring Janelle Monae,Imagine Dragons,John Legend,Wiz Khalifa Featuring Charlie Puth,Drake Featuring WizKid & Kyla,Bruno Mars,Bebe Rexha & Florida Georgia Line,Halsey
3,B.J. Thomas,Bee Gees,Joe Tex,Elton John,Redbone,Freddy Fender,Wild Cherry,Hot,Bee Gees,Rod Stewart,Queen,Rick Springfield,John Cougar,Michael Jackson,Phil Collins,Chaka Khan,Mr. Mister,Starship,Rick Astley,Paula Abdul,Madonna,James Blunt,James Blunt,James Blunt,James Blunt,James Blunt,James Blunt,James Blunt,James Blunt,James Blunt,James Blunt,James Blunt,James Blunt,James Blunt,James Blunt,James Blunt,James Blunt,Fergie,Lil Wayne Featuring Static Major,The Black Eyed Peas,Katy Perry Featuring Snoop Dogg,Katy Perry Featuring Kanye West,Maroon 5 Featuring Wiz Khalifa,Baauer,Iggy Azalea Featuring Charli XCX,Fetty Wap,Rihanna Featuring Drake,Kendrick Lamar,Camila Cabello Featuring Young Thug,Billie Eilish
4,Edwin Starr,Donny Osmond,Bill Withers,Billy Preston,Jackson 5,Frankie Valli,Paul Simon,Kenny Nolan,Exile,Peaches & Herb,Lipps Inc.,Kool & The Gang,The Steve Miller Band,Bonnie Tyler,Van Halen,Tears For Fears,Whitney Houston,Robbie Nevil,Guns N' Roses,Janet Jackson,Mariah Carey,Shakira Featuring Wyclef Jean,Shakira Featuring Wyclef Jean,Shakira Featuring Wyclef Jean,Shakira Featuring Wyclef Jean,Shakira Featuring Wyclef Jean,Shakira Featuring Wyclef Jean,Shakira Featuring Wyclef Jean,Shakira Featuring Wyclef Jean,Shakira Featuring Wyclef Jean,Shakira Featuring Wyclef Jean,Shakira Featuring Wyclef Jean,Shakira Featuring Wyclef Jean,Shakira Featuring Wyclef Jean,Shakira Featuring Wyclef Jean,Shakira Featuring Wyclef Jean,Shakira Featuring Wyclef Jean,T-Pain Featuring Yung Joc,Timbaland Featuring OneRepublic,Taylor Swift,Usher Featuring will.i.am,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",Ellie Goulding,Macklemore & Ryan Lewis Featuring Ray Dalton,OneRepublic,Maroon 5,twenty one pilots,The Chainsmokers & Coldplay,Post Malone Featuring 21 Savage,Post Malone
5,Diana Ross,The Temptations,Mac Davis,Carly Simon,MFSB,Grand Funk,Gary Wright,Thelma Houston,Bee Gees,Gloria Gaynor,Bette Midler,Eddie Rabbitt,Chicago,Michael Sembello,Lionel Richie,Dire Straits,Eddie Murphy,Whitesnake,Whitney Houston,Paula Abdul,Phil Collins,Natasha Bedingfield,Natasha Bedingfield,Natasha Bedingfield,Natasha Bedingfield,Natasha Bedingfield,Natasha Bedingfield,Natasha Bedingfield,Natasha Bedingfield,Natasha Bedingfield,Natasha Bedingfield,Natasha Bedingfield,Natasha Bedingfield,Natasha Bedingfield,Natasha Bedingfield,Natasha Bedingfield,Natasha Bedingfield,Carrie Underwood,Jordin Sparks Duet With Chris Brown,Flo Rida,B.o.B Featuring Hayley Williams,Bruno Mars,The Wanted,Justin Timberlake,Jason Derulo Featuring 2 Chainz,WALK THE MOON,Desiigner,Migos Featuring Lil Uzi Vert,Post Malone Featuring Ty Dolla $ign,Marshmello & Bastille
6,Jackson 5,Al Green,Melanie,Diana Ross,Ray Stevens,David Bowie,Walter Murphy & The Big Apple Band,Rita Coolidge,Player,Donna Summer,Rupert Holmes,Dolly Parton,Soft Cell,Eurythmics,Ray Parker Jr.,Madonna,Survivor,Bruce Hornsby & The Range,Belinda Carlisle,Will To Power,En Vogue,Gnarls Barkley,Gnarls Barkley,Gnarls Barkley,Gnarls Barkley,Gnarls Barkley,Gnarls Barkley,Gnarls Barkley,Gnarls Barkley,Gnarls Barkley,Gnarls Barkley,Gnarls Barkley,Gnarls Barkley,Gnarls Barkley,Gnarls Barkley,Gnarls Barkley,Gnarls Barkley,Plain White T's,Sara Bareilles,Jason Mraz,Eminem Featuring Rihanna,Nicki Minaj,Kelly Clarkson,P!nk Featuring Nate Ruess,MAGIC!,Taylor Swift,Adele,The Chainsmokers Featuring Halsey,"Cardi B, Bad Bunny & J Balvin",Ariana Grande
7,Rare Earth,The Honey Cone,Wayne Newton,Vicki Lawrence,Elton John,Neil Sedaka,Starland Vocal Band,Alan O'Day,Andy Gibb,Village People,Gary Numan,REO Speedwagon,Vangelis,Culture Club,Culture Club,a-ha,Mr. Mister,Bon Jovi,Tiffany,Anita Baker,Bell Biv DeVoe,Chamillionaire Featuring Krayzie Bone,Chamillionaire Featuring Krayzie Bone,Chamillionaire Featuring Krayzie Bone,Chamillionaire Featuring Krayzie Bone,Chamillionaire Featuring Krayzie Bone,Chamillionaire Featuring Krayzie Bone,Chamillionaire Featuring Krayzie Bone,Chamillionaire Featuring Krayzie Bone,Chamillionaire Featuring Krayzie Bone,Chamillionaire Featuring Krayzie Bone,Chamillionaire Featuring Krayzie Bone,Chamillionaire Featuring Krayzie Bone,Chamillionaire Featuring Krayzie Bone,Chamillionaire Featuring Krayzie Bone,Chamillionaire Featuring Krayzie Bone,Chamillionaire Featuring Krayzie Bone,Akon Featuring Snoop Dogg,Usher Featuring Young Jeezy,Beyonce,Lady Gaga,Maroon 5 Featuring Christina Aguilera,Rihanna Featuring Calvin Harris,Bruno Mars,Meghan Trainor,Silento,The Chainsmokers Featuring Daya,Sam Hunt,"Zedd, Maren Morris & Grey",Khalid
8,The Beatles,Cornelius Brothers & Sister Rose,Al Green,Clint Holmes,Mac Davis,Eagles,Barry Manilow,Mary Macgregor,A Taste Of Honey,Anita Ward,Smokey Robinson,Sheena Easton,Quarterflash,Eddie Rabbitt With Crystal Gayle,John Waite,Paul Young,Robert Palmer,Los Lobos,Breathe,Richard Marx,Michael Bolton,Justin Timberlake,Justin Timberlake,Justin Timberlake,Justin Timberlake,Justin Timberlake,Justin Timberlake,Justin Timberlake,Justin Timberlake,Justin Timberlake,Justin Timberlake,Justin Timberlake,Justin Timberlake,Justin Timberlake,Justin Timberlake,Justin Timberlake,Justin Timberlake,Nelly Furtado,Chris Brown,Kanye West,Taio Cruz,The Black Eyed Peas,Nicki Minaj,Florida Georgia Line Featuring Nelly,Ariana Grande Featuring Iggy Azalea,The Weeknd,Justin Timberlake,Imagine Dragons,Drake,Travis Scott
9,Freda Payne,The Rolling Stones,Looking Glass,Helen Reddy,Aretha Franklin,John Denver,Silver Convention,ABBA,Commodores,Robert John,Air Supply,Smokey Robinson,Toto,Bob Seger & The Silver Bullet Band,Lionel Richie,Philip Bailey With Phil Collins,Whitney Houston,Wang Chung,Steve Winwood,Boy Meets Girl,Paula Abdul,Beyonce Featuring Slim Thug,Beyonce Featuring Slim Thug,Beyonce Featuring Slim Thug,Beyonce Featuring Slim Thug,Beyonce Featuring Slim Thug,Beyonce Featuring Slim Thug,Beyonce Featuring Slim Thug,Beyonce Featuring Slim Thug,Beyonce Featuring Slim Thug,Beyonce Featuring Slim Thug,Beyonce Featuring Slim Thug,Beyonce Featuring Slim Thug,Beyonce Featuring Slim Thug,Beyonce Featuring Slim Thug,Beyonce Featuring Slim Thug,Beyonce Featuring Slim Thug,Fergie Featuring Ludacris,Chris Brown,The All-American Rejects,Taio Cruz Featuring Ludacris,Jennifer Lopez Featuring Pitbull,One Direction,Katy Perry,Sam Smith,The Weeknd,The Chainsmokers Featuring Halsey,Post Malone Featuring Quavo,Maroon 5 Featuring Cardi B,Jonas Brothers
