,Song 1970,Artist 1970,Song 1971,Artist 1971,Song 1972,Artist 1972,Song 1973,Artist 1973,Song 1974,Artist 1974,Song 1975,Artist 1975,Song 1976,Artist 1976,Song 1977,Artist 1977,Song 1978,Artist 1978,Song 1979,Artist 1979,Song 1980,Artist 1980,Song 1981,Artist 1981,Song 1982,Artist 1982,Song 1983,Artist 1983,Song 1984,Artist 1984,Song 1985,Artist 1985,Song 1986,Artist 1986,Song 1987,Artist 1987,Song 1988,Artist 1988,Song 1989,Artist 1989,Song 1990,Artist 1990,Song 1991,Artist 1991,Song 1992,Artist 1992,Song 1993,Artist 1993,Song 1994,Artist 1994,Song 1995,Artist 1995,Song 1996,Artist 1996,Song 1997,Artist 1997,Song 1998,Artist 1998,Song 1999,Artist 1999,Song 2000,Artist 2000,Song 2001,Artist 2001,Song 2002,Artist 2002,Song 2003,Artist 2003,Song 2004,Artist 2004,Song 2005,Artist 2005,Song 2006,Artist 2006,Song 2007,Artist 2007,Song 2008,Artist 2008,Song 2009,Artist 2009,Song 2010,Artist 2010,Song 2011,Artist 2011,Song 2012,Artist 2012,Song 2013,Artist 2013,Song 2014,Artist 2014,Song 2015,Artist 2015,Song 2016,Artist 2016,Song 2017,Artist 2017,Song 2018,Artist 2018,Song 2019,Artist 2019
0,Bridge Over Troubled Water,Simon & Garfunkel,Joy To The World,Three Dog Night,Alone Again (Naturally),Gilbert O'Sullivan,"Bad, Bad Leroy Brown",Jim Croce,The Way We Were,Barbra Streisand,Love Will Keep Us Together,Captain & Tennille,Silly Love Songs,Wings,Tonight's The Night (Gonna Be Alright),Rod Stewart,Shadow Dancing,Andy Gibb,My Sharona,The Knack,Magic,Olivia Newton-John,Bette Davis Eyes,Kim Carnes,Physical,Olivia Newton-John,Every Breath You Take,The Police,When Doves Cry,Prince,Like A Virgin,Madonna,That's What Friends Are For,Dionne & Friends,ALONE,Heart,Faith,George Michael,Look Away,Chicago,Hold On,Wilson Phillips,Bad Day,Daniel Powter,Bad Day,Daniel Powter,Bad Day,Daniel Powter,Bad Day,Daniel Powter,Bad Day,Daniel Powter,Bad Day,Daniel Powter,Bad Day,Daniel Powter,Bad Day,Daniel Powter,Bad Day,Daniel Powter,Bad Day,Daniel Powter,Bad Day,Daniel Powter,Bad Day,Daniel Powter,Bad Day,Daniel Powter,Bad Day,Daniel Powter,Bad Day,Daniel Powter,Bad Day,Daniel Powter,Irreplaceable,Beyonce,Low,Flo Rida Featuring T-Pain,Boom Boom Pow,The Black Eyed Peas,TiK ToK,Ke$ha,Rolling In The Deep,Adele,Somebody That I Used To Know,Gotye Featuring Kimbra,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,Happy,Pharrell Williams,Uptown Funk!,Mark Ronson Featuring Bruno Mars,Love Yourself,Justin Bieber,Shape Of You,Ed Sheeran,God's Plan,Drake,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
1,(They Long To Be) Close To You,Carpenters,Maggie May/Reason To Believe,Rod Stewart,American Pie (Parts I & II),Don McLean,Killing Me Softly With His Song,Roberta Flack,Seasons In The Sun,Terry Jacks,Rhinestone Cowboy,Glen Campbell,Don't Go Breaking My Heart,Elton John & Kiki Dee,I Just Want To Be Your Everything,Andy Gibb,Night Fever,Bee Gees,BAD GIRLS,Donna Summer,Rock With You,Michael Jackson,Lady,Kenny Rogers,I Love Rock 'N' Roll,Joan Jett & the Blackhearts,Billie Jean,Michael Jackson,What's Love Got To Do With It,Tina Turner,Wake Me Up Before You Go-Go,Wham!,I MISS YOU,Klymaxx,Shake You Down,Gregory Abbott,Need You Tonight,INXS,My Prerogative,Bobby Brown,Nothing Compares 2 U,Sinead O'Connor,Temperature,Sean Paul,Temperature,Sean Paul,Temperature,Sean Paul,Temperature,Sean Paul,Temperature,Sean Paul,Temperature,Sean Paul,Temperature,Sean Paul,Temperature,Sean Paul,Temperature,Sean Paul,Temperature,Sean Paul,Temperature,Sean Paul,Temperature,Sean Paul,Temperature,Sean Paul,Temperature,Sean Paul,Temperature,Sean Paul,Temperature,Sean Paul,Umbrella,Rihanna Featuring Jay-Z,Bleeding Love,Leona Lewis,Poker Face,Lady Gaga,Need You Now,Lady Antebellum,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,Call Me Maybe,Carly Rae Jepsen,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,Dark Horse,Katy Perry Featuring Juicy J,Thinking Out Loud,Ed Sheeran,Sorry,Justin Bieber,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Perfect,Ed Sheeran,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee
2,American Woman/No Sugar Tonight,The Guess Who,It's Too Late/I Feel The Earth Move,Carole King,Without You,Nilsson,Let's Get It On,Marvin Gaye,Love's Theme,Love Unlimited Orchestra,Philadelphia Freedom,Elton John,Disco Lady,Johnnie Taylor,Best Of My Love,The Emotions,You Light Up My Life,Debby Boone,Le Freak,Chic,Do That To Me One More Time,Captain & Tennille,Starting Over,John Lennon,Don't You Want Me,The Human League,Down Under,Men At Work,Footloose,Kenny Loggins,I Want To Know What Love Is,Foreigner,ON MY OWN,Patti LaBelle & Michael McDonald,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,Got My Mind Set On You,George Harrison,Every Rose Has Its Thorn,Poison,Poison,Bell Biv DeVoe,Promiscuous,Nelly Furtado Featuring Timbaland,Promiscuous,Nelly Furtado Featuring Timbaland,Promiscuous,Nelly Furtado Featuring Timbaland,Promiscuous,Nelly Furtado Featuring Timbaland,Promiscuous,Nelly Furtado Featuring Timbaland,Promiscuous,Nelly Furtado Featuring Timbaland,Promiscuous,Nelly Furtado Featuring Timbaland,Promiscuous,Nelly Furtado Featuring Timbaland,Promiscuous,Nelly Furtado Featuring Timbaland,Promiscuous,Nelly Furtado Featuring Timbaland,Promiscuous,Nelly Furtado Featuring Timbaland,Promiscuous,Nelly Furtado Featuring Timbaland,Promiscuous,Nelly Furtado Featuring Timbaland,Promiscuous,Nelly Furtado Featuring Timbaland,Promiscuous,Nelly Furtado Featuring Timbaland,Promiscuous,Nelly Furtado Featuring Timbaland,The Sweet Escape,Gwen Stefani Featuring Akon,No One,Alicia Keys,Just Dance,Lady Gaga Featuring Colby O'Donis,"Hey, Soul Sister",Train,Firework,Katy Perry,We Are Young,fun. Featuring Janelle Monae,Radioactive,Imagine Dragons,All Of Me,John Legend,See You Again,Wiz Khalifa Featuring Charlie Puth,One Dance,Drake Featuring WizKid & Kyla,That's What I Like,Bruno Mars,Meant To Be,Bebe Rexha & Florida Georgia Line,Without Me,Halsey
3,Raindrops Keep Fallin' On My Head,B.J. Thomas,How Can You Mend A Broken Heart,Bee Gees,I Gotcha,Joe Tex,Crocodile Rock,Elton John,Come And Get Your Love,Redbone,Before The Next Teardrop Falls,Freddy Fender,Play That Funky Music,Wild Cherry,Angel In Your Arms,Hot,Stayin' Alive,Bee Gees,DO YA THINK I'm SEXY,Rod Stewart,Crazy Little Thing Called Love,Queen,Jessie's Girl,Rick Springfield,Hurts So Good,John Cougar,Beat It,Michael Jackson,Against All Odds (Take A Look At Me Now),Phil Collins,I Feel For You,Chaka Khan,Broken Wings,Mr. Mister,Nothing's Gonna Stop Us Now,Starship,Never Gonna Give You Up,Rick Astley,Straight Up,Paula Abdul,Vogue,Madonna,You're Beautiful,James Blunt,You're Beautiful,James Blunt,You're Beautiful,James Blunt,You're Beautiful,James Blunt,You're Beautiful,James Blunt,You're Beautiful,James Blunt,You're Beautiful,James Blunt,You're Beautiful,James Blunt,You're Beautiful,James Blunt,You're Beautiful,James Blunt,You're Beautiful,James Blunt,You're Beautiful,James Blunt,You're Beautiful,James Blunt,You're Beautiful,James Blunt,You're Beautiful,James Blunt,You're Beautiful,James Blunt,Big Girls Don't Cry,Fergie,Lollipop,Lil Wayne Featuring Static Major,I Gotta Feeling,The Black Eyed Peas,California Gurls,Katy Perry Featuring Snoop Dogg,E.T.,Katy Perry Featuring Kanye West,Payphone,Maroon 5 Featuring Wiz Khalifa,Harlem Shake,Baauer,Fancy,Iggy Azalea Featuring Charli XCX,Trap Queen,Fetty Wap,Work,Rihanna Featuring Drake,Humble.,Kendrick Lamar,Havana,Camila Cabello Featuring Young Thug,Bad Guy,Billie Eilish
4,War,Edwin Starr,Go Away Little Girl,Donny Osmond,Lean On Me,Bill Withers,Will It Go Round In Circles,Billy Preston,Dancing Machine,Jackson 5,My Eyes Adored You,Frankie Valli,50 Ways To Leave Your Lover,Paul Simon,I Like Dreamin',Kenny Nolan,KISS YOU ALL OVER,Exile,Reunited,Peaches & Herb,Funkytown,Lipps Inc.,Celebration,Kool & The Gang,Abracadabra,The Steve Miller Band,Total Eclipse Of The Heart,Bonnie Tyler,Jump,Van Halen,Everybody Wants To Rule The World,Tears For Fears,How Will I Know,Whitney Houston,C'est La Vie,Robbie Nevil,Sweet Child O' Mine,Guns N' Roses,Miss You Much,Janet Jackson,Vision Of Love,Mariah Carey,Hips Don't Lie,Shakira Featuring Wyclef Jean,Hips Don't Lie,Shakira Featuring Wyclef Jean,Hips Don't Lie,Shakira Featuring Wyclef Jean,Hips Don't Lie,Shakira Featuring Wyclef Jean,Hips Don't Lie,Shakira Featuring Wyclef Jean,Hips Don't Lie,Shakira Featuring Wyclef Jean,Hips Don't Lie,Shakira Featuring Wyclef Jean,Hips Don't Lie,Shakira Featuring Wyclef Jean,Hips Don't Lie,Shakira Featuring Wyclef Jean,Hips Don't Lie,Shakira Featuring Wyclef Jean,Hips Don't Lie,Shakira Featuring Wyclef Jean,Hips Don't Lie,Shakira Featuring Wyclef Jean,Hips Don't Lie,Shakira Featuring Wyclef Jean,Hips Don't Lie,Shakira Featuring Wyclef Jean,Hips Don't Lie,Shakira Featuring Wyclef Jean,Hips Don't Lie,Shakira Featuring Wyclef Jean,Buy U A Drank (Shawty Snappin'),T-Pain Featuring Yung Joc,Apologize,Timbaland Featuring OneRepublic,Love Story,Taylor Swift,OMG,Usher Featuring will.i.am,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",Lights,Ellie Goulding,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,Counting Stars,OneRepublic,Sugar,Maroon 5,Stressed Out,twenty one pilots,Something Just Like This,The Chainsmokers & Coldplay,Rockstar,Post Malone Featuring 21 Savage,Wow.,Post Malone
5,Ain't No Mountain High Enough,Diana Ross,Just My Imagination (Running Away With Me),The Temptations,Baby Don't Get Hooked On Me,Mac Davis,You're So Vain,Carly Simon,Tsop,MFSB,Some Kind Of Wonderful,Grand Funk,Love Is Alive,Gary Wright,DON't LEAVE ME THIS WAY,Thelma Houston,How Deep Is Your Love,Bee Gees,I Will Survive,Gloria Gaynor,The Rose,Bette Midler,I Love A Rainy Night,Eddie Rabbitt,Hard To Say I'm Sorry,Chicago,Maniac,Michael Sembello,Hello,Lionel Richie,Money For Nothing,Dire Straits,Party All The Time,Eddie Murphy,Here I Go Again,Whitesnake,So Emotional,Whitney Houston,Cold Hearted,Paula Abdul,Another Day In Paradise,Phil Collins,Unwritten,Natasha Bedingfield,Unwritten,Natasha Bedingfield,Unwritten,Natasha Bedingfield,Unwritten,Natasha Bedingfield,Unwritten,Natasha Bedingfield,Unwritten,Natasha Bedingfield,Unwritten,Natasha Bedingfield,Unwritten,Natasha Bedingfield,Unwritten,Natasha Bedingfield,Unwritten,Natasha Bedingfield,Unwritten,Natasha Bedingfield,Unwritten,Natasha Bedingfield,Unwritten,Natasha Bedingfield,Unwritten,Natasha Bedingfield,Unwritten,Natasha Bedingfield,Unwritten,Natasha Bedingfield,Before He Cheats,Carrie Underwood,No Air,Jordin Sparks Duet With Chris Brown,Right Round,Flo Rida,Airplanes,B.o.B Featuring Hayley Williams,Grenade,Bruno Mars,Glad You Came,The Wanted,Mirrors,Justin Timberlake,Talk Dirty,Jason Derulo Featuring 2 Chainz,Shut Up And Dance,WALK THE MOON,Panda,Desiigner,Bad And Boujee,Migos Featuring Lil Uzi Vert,Psycho,Post Malone Featuring Ty Dolla $ign,Happier,Marshmello & Bastille
6,I'll Be There,Jackson 5,Tired Of Being Alone,Al Green,Brand New Key,Melanie,Touch Me In The Morning,Diana Ross,The Streak,Ray Stevens,Fame,David Bowie,A Fifth Of Beethoven,Walter Murphy & The Big Apple Band,(your Love Has Lifted Me) Higher And Higher,Rita Coolidge,Baby Come Back,Player,Hot Stuff,Donna Summer,Escape,Rupert Holmes,9 To 5,Dolly Parton,Tainted Love,Soft Cell,Sweet Dreams (Are Made Of This),Eurythmics,Ghostbusters,Ray Parker Jr.,Crazy For You,Madonna,Burning Heart,Survivor,The Way It Is,Bruce Hornsby & The Range,Heaven Is A Place On Earth,Belinda Carlisle,"Baby, I Love Your Way/Freebird Medley",Will To Power,Hold On,En Vogue,Crazy,Gnarls Barkley,Crazy,Gnarls Barkley,Crazy,Gnarls Barkley,Crazy,Gnarls Barkley,Crazy,Gnarls Barkley,Crazy,Gnarls Barkley,Crazy,Gnarls Barkley,Crazy,Gnarls Barkley,Crazy,Gnarls Barkley,Crazy,Gnarls Barkley,Crazy,Gnarls Barkley,Crazy,Gnarls Barkley,Crazy,Gnarls Barkley,Crazy,Gnarls Barkley,Crazy,Gnarls Barkley,Crazy,Gnarls Barkley,Hey There Delilah,Plain White T's,Love Song,Sara Bareilles,I'm Yours,Jason Mraz,Love The Way You Lie,Eminem Featuring Rihanna,Super Bass,Nicki Minaj,Stronger (What Doesn't Kill You),Kelly Clarkson,Just Give Me A Reason,P!nk Featuring Nate Ruess,Rude,MAGIC!,Blank Space,Taylor Swift,Hello,Adele,Closer,The Chainsmokers Featuring Halsey,I Like It,"Cardi B, Bad Bunny & J Balvin",7 Rings,Ariana Grande
7,Get Ready,Rare Earth,Want Ads,The Honey Cone,Daddy Don't You Walk So Fast,Wayne Newton,The Night The Lights Went Out In Georgia,Vicki Lawrence,Bennie And The Jets,Elton John,Laughter In The Rain,Neil Sedaka,Afternoon Delight,Starland Vocal Band,Undercover Angel,Alan O'Day,Love Is Thicker Than Water,Andy Gibb,Y.M.C.A.,Village People,Cars,Gary Numan,Keep On Loving You,REO Speedwagon,Chariots Of Fire,Vangelis,Do You Really Want To Hurt Me,Culture Club,KARMA CHAMELEON,Culture Club,Take On Me,a-ha,Kyrie,Mr. Mister,Livin' On A Prayer,Bon Jovi,Could've Been,Tiffany,GIVING YOU THE BEST THAT I GOT,Anita Baker,Do Me!,Bell Biv DeVoe,Ridin',Chamillionaire Featuring Krayzie Bone,Ridin',Chamillionaire Featuring Krayzie Bone,Ridin',Chamillionaire Featuring Krayzie Bone,Ridin',Chamillionaire Featuring Krayzie Bone,Ridin',Chamillionaire Featuring Krayzie Bone,Ridin',Chamillionaire Featuring Krayzie Bone,Ridin',Chamillionaire Featuring Krayzie Bone,Ridin',Chamillionaire Featuring Krayzie Bone,Ridin',Chamillionaire Featuring Krayzie Bone,Ridin',Chamillionaire Featuring Krayzie Bone,Ridin',Chamillionaire Featuring Krayzie Bone,Ridin',Chamillionaire Featuring Krayzie Bone,Ridin',Chamillionaire Featuring Krayzie Bone,Ridin',Chamillionaire Featuring Krayzie Bone,Ridin',Chamillionaire Featuring Krayzie Bone,Ridin',Chamillionaire Featuring Krayzie Bone,I Wanna Love You,Akon Featuring Snoop Dogg,Love In This Club,Usher Featuring Young Jeezy,Single Ladies (Put A Ring On It),Beyonce,Bad Romance,Lady Gaga,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,We Found Love,Rihanna Featuring Calvin Harris,When I Was Your Man,Bruno Mars,All About That Bass,Meghan Trainor,Watch Me,Silento,Don't Let Me Down,The Chainsmokers Featuring Daya,Body Like A Back Road,Sam Hunt,The Middle,"Zedd, Maren Morris & Grey",Talk,Khalid
8,Let It Be,The Beatles,Treat Her Like A Lady,Cornelius Brothers & Sister Rose,Let's Stay Together,Al Green,Playground In My Mind,Clint Holmes,One Hell Of A Woman,Mac Davis,One Of These Nights,Eagles,I Write The Songs,Barry Manilow,Torn Between Two Lovers,Mary Macgregor,Boogie Oogie Oogie,A Taste Of Honey,Ring My Bell,Anita Ward,CRUISIN',Smokey Robinson,Morning Train,Sheena Easton,Harden My Heart,Quarterflash,You And I,Eddie Rabbitt With Crystal Gayle,Missing You,John Waite,Everytime You Go Away,Paul Young,Addicted To Love,Robert Palmer,La Bamba,Los Lobos,Hands To Heaven,Breathe,Right Here Waiting,Richard Marx,How Am I Supposed To Live Without You,Michael Bolton,SexyBack,Justin Timberlake,SexyBack,Justin Timberlake,SexyBack,Justin Timberlake,SexyBack,Justin Timberlake,SexyBack,Justin Timberlake,SexyBack,Justin Timberlake,SexyBack,Justin Timberlake,SexyBack,Justin Timberlake,SexyBack,Justin Timberlake,SexyBack,Justin Timberlake,SexyBack,Justin Timberlake,SexyBack,Justin Timberlake,SexyBack,Justin Timberlake,SexyBack,Justin Timberlake,SexyBack,Justin Timberlake,SexyBack,Justin Timberlake,Say It Right,Nelly Furtado,With You,Chris Brown,Heartless,Kanye West,Dynamite,Taio Cruz,Just Can't Get Enough,The Black Eyed Peas,Starships,Nicki Minaj,Cruise,Florida Georgia Line Featuring Nelly,Problem,Ariana Grande Featuring Iggy Azalea,Earned It (Fifty Shades Of Grey),The Weeknd,Can't Stop The Feeling!,Justin Timberlake,Believer,Imagine Dragons,In My Feelings,Drake,Sicko Mode,Travis Scott
9,Band Of Gold,Freda Payne,BROWN SUGAR,The Rolling Stones,Brandy (You're A Fine Girl),Looking Glass,Delta Dawn,Helen Reddy,Until You Come Back To Me (That's What I'm Gonna Do),Aretha Franklin,Thank God I'm A Country Boy,John Denver,"Fly, Robin, Fly",Silver Convention,Dancing Queen,ABBA,Three Times A Lady,Commodores,Sad Eyes,Robert John,Lost In Love,Air Supply,Being With You,Smokey Robinson,Rosanna,Toto,Shame On The Moon,Bob Seger & The Silver Bullet Band,All Night Long (All Night),Lionel Richie,Easy Lover,Philip Bailey With Phil Collins,Greatest Love Of All,Whitney Houston,Everybody Have Fun Tonight,Wang Chung,Roll With It,Steve Winwood,Waiting For A Star To Fall,Boy Meets Girl,Opposites Attract,Paula Abdul,Check On It,Beyonce Featuring Slim Thug,Check On It,Beyonce Featuring Slim Thug,Check On It,Beyonce Featuring Slim Thug,Check On It,Beyonce Featuring Slim Thug,Check On It,Beyonce Featuring Slim Thug,Check On It,Beyonce Featuring Slim Thug,Check On It,Beyonce Featuring Slim Thug,Check On It,Beyonce Featuring Slim Thug,Check On It,Beyonce Featuring Slim Thug,Check On It,Beyonce Featuring Slim Thug,Check On It,Beyonce Featuring Slim Thug,Check On It,Beyonce Featuring Slim Thug,Check On It,Beyonce Featuring Slim Thug,Check On It,Beyonce Featuring Slim Thug,Check On It,Beyonce Featuring Slim Thug,Check On It,Beyonce Featuring Slim Thug,Glamorous,Fergie Featuring Ludacris,Forever,Chris Brown,Gives You Hell,The All-American Rejects,Break Your Heart,Taio Cruz Featuring Ludacris,On The Floor,Jennifer Lopez Featuring Pitbull,What Makes You Beautiful,One Direction,Roar,Katy Perry,Stay With Me,Sam Smith,The Hills,The Weeknd,Closer,The Chainsmokers Featuring Halsey,Congratulations,Post Malone Featuring Quavo,Girls Like You,Maroon 5 Featuring Cardi B,Sucker,Jonas Brothers
