,'70s,'80s,'90s,'00s,'10s
0,Simon & Garfunkel,Olivia Newton-John,Wilson Phillips,Daniel Powter,Ke$ha
1,Carpenters,Michael Jackson,Sinead O'Connor,Sean Paul,Lady Antebellum
2,The Guess Who,Captain & Tennille,Bell Biv DeVoe,Nelly Furtado Featuring Timbaland,Train
3,B.J. Thomas,Queen,Madonna,James Blunt,Katy Perry Featuring Snoop Dogg
4,Edwin Starr,Lipps Inc.,Mariah Carey,Shakira Featuring Wyclef Jean,Usher Featuring will.i.am
5,Diana Ross,Bette Midler,Phil Collins,Natasha Bedingfield,B.o.B Featuring Hayley Williams
6,Jackson 5,Rupert Holmes,En Vogue,Gnarls Barkley,Eminem Featuring Rihanna
7,Rare Earth,Gary Numan,Bell Biv DeVoe,Chamillionaire Featuring Krayzie Bone,Lady Gaga
8,The Beatles,Smokey Robinson,Michael Bolton,Justin Timberlake,Taio Cruz
9,Freda Payne,Air Supply,Paula Abdul,Beyonce Featuring Slim Thug,Taio Cruz Featuring Ludacris
10,Three Dog Night,Elton John,Janet Jackson,Mary J. Blige,B.o.B Featuring Bruno Mars
11,Ray Stevens,Christopher Cross,Heart,"Nelly Featuring Paul Wall, Ali & Gipp",Enrique Iglesias Featuring Pitbull
12,Bread,Diana Ross,Maxi Priest,The Fray,Young Money Featuring Lloyd
13,Vanity Fare,Styx,Alannah Myles,Cassie,Jason Derulo
14,Jackson 5,Billy Preston & Syreeta,Wilson Phillips,The Pussycat Dolls Featuring Snoop Dogg,Rihanna
15,Jackson 5,The Manhattans,Linda Ronstadt (Featuring Aaron Neville),Chris Brown,Lady Gaga Featuring Beyonce
16,Neil Diamond,Commodores,Lisa Stansfield,Ne-Yo,Katy Perry
17,Dawn,Dr. Hook,Calloway,Yung Joc,Bruno Mars
18,Norman Greenbaum,Robbie Dupree,Johnny Gill,Rihanna,Mike Posner
19,Melanie with The Edwin Hawkins Singers,Ambrosia,Glenn Medeiros Featuring Bobby Brown,Panic! At The Disco,The Black Eyed Peas
20,The Temptations,Kenny Loggins,Sweet Sensation,The All-American Rejects,Jay-Z + Alicia Keys
21,Free,Jermaine Jackson,Nelson,Fergie,Usher Featuring Pitbull
22,Jackson 5,Christopher Cross,Taylor Dayne,Red Hot Chili Peppers,Travie McCoy Featuring Bruno Mars
23,Bobby Sherman,Dan Fogelberg,Jane Child,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Eminem
24,Sugarloaf,Kenny Rogers,Seduction,Dem Franchize Boyz Featuring Lil Peanut & Charlay,Iyaz
25,Blues Image,Kool & The Gang,Linear,Rascal Flatts,David Guetta Featuring Akon
26,John Ono Lennon,Kool & The Gang,Poison,The Fray,The Script
27,Clarence Carter,Kim Carnes,New Kids On The Block,Rihanna,Ke$ha
28,Creedence Clearwater Revival,M,Roxette,Snow Patrol,The Black Eyed Peas
29,Brook Benton,Pretenders,Billy Joel,Hinder,Owl City
30,Chairmen Of The Board,"Ray, Goodman & Brown",James Ingram,Cascada,Trey Songz Featuring Fabolous
31,Edison Lighthouse,Stevie Wonder,Rod Stewart,Christina Aguilera,Drake
32,Anne Murray,Shalamar,Janet Jackson,Fall Out Boy,Lady Gaga
33,Eddie Holman,Cliff Richard,Tommy Page,Kanye West Featuring Jamie Foxx,Jason Derulo
34,Badfinger,The Brothers Johnson,Jody Watley,Ludacris Featuring Pharrell,Nelly
35,Tyrone Davis,Eagles,Soul II Soul,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Ludacris
36,Mungo Jerry,Rocky Burnette,Luther Vandross,Sean Paul Featuring Keyshia Cole,Far*East Movement Featuring Cataracs & Dev
37,R. Dean Taylor,Dr. Hook,Janet Jackson,Nickelback,Timbaland Featuring Justin Timberlake
38,Rare Earth,Rupert Holmes,Vanilla Ice,Kelly Clarkson,Michael Buble
39,Bobby Sherman,Donna Summer,Milli Vanilli,The Pussycat Dolls,Flo Rida Featuring David Guetta
