,'70s,'80s,'90s,'00s,'10s
0,Bridge Over Troubled Water,Magic,Hold On,Bad Day,TiK ToK
1,(They Long To Be) Close To You,Rock With You,Nothing Compares 2 U,Temperature,Need You Now
2,American Woman/No Sugar Tonight,Do That To Me One More Time,Poison,Promiscuous,"Hey, Soul Sister"
3,Raindrops Keep Fallin' On My Head,Crazy Little Thing Called Love,Vogue,You're Beautiful,California Gurls
4,War,Funkytown,Vision Of Love,Hips Don't Lie,OMG
5,Ain't No Mountain High Enough,The Rose,Another Day In Paradise,Unwritten,Airplanes
6,I'll Be There,Escape,Hold On,Crazy,Love The Way You Lie
7,Get Ready,Cars,Do Me!,Ridin',Bad Romance
8,Let It Be,CRUISIN',How Am I Supposed To Live Without You,SexyBack,Dynamite
9,Band Of Gold,Lost In Love,Opposites Attract,Check On It,Break Your Heart
10,Mama Told Me (Not To Come),Little Jeannie,Escapade,Be Without You,Nothin' On You
11,Everything Is Beautiful,Ride Like The Wind,All I Wanna Do Is Make Love To You,Grillz,I Like It
12,Make It With You,Upside Down,Close To You,Over My Head (Cable Car),BedRock
13,Hitchin' A Ride,Babe,Black Velvet,Me & U,In My Head
14,ABC,With You I'm Born Again,Release Me,Buttons,Rude Boy
15,The Love You Save/I Found That Girl,Shining Star,Don't Know Much,Run It!,Telephone
16,Cracklin' Rosie,Still,All Around The World,So Sick,Teenage Dream
17,Candida,Sexy Eyes,I Wanna Be Rich,It's Goin' Down,Just The Way You Are
18,Spirit In The Sky,Steal Away,Rub You The Right Way,SOS,Cooler Than Me
19,Lay Down (Candles In The Rain),Biggest Part Of Me,She Ain't Worth It,I Write Sins Not Tragedies,Imma Be
20,Ball Of Confusion (That's What The World Is Today),This Is It,If Wishes Came True,Move Along,Empire State Of Mind
21,All Right Now,Let's Get Serious,(Can't Live Without Your) Love And Affection,London Bridge,DJ Got Us Fallin' In Love
22,I Want You Back,Sailing,Love Will Lead You Back,Dani California,Billionaire
23,"Julie, Do Ya Love Me",Longer,Don't Wanna Fall In Love,Snap Yo Fingers,Not Afraid
24,Green-Eyed Lady,Coward Of The County,Two To Make It Right,"Lean Wit It, Rock Wit It",Replay
25,Ride Captain Ride,Ladies Night,Sending All My Love,What Hurts The Most,Sexy Chick
26,Instant Karma (We All Shine On),TOO HOT,Unskinny Bop,How To Save A Life,Breakeven
27,Patches,More Love,Step By Step,Unfaithful,Your Love Is My Drug
28,Lookin' Out My Back Door/Long As I Can See The Light,Pop Muzik,Dangerous,Chasing Cars,I Gotta Feeling
29,Rainy Night In Georgia,Brass In Pocket,We Didn't Start The Fire,Lips Of An Angel,Fireflies
30,Give Me Just A Little More Time,Special Lady,I Don't Have The Heart,Everytime We Touch,Say Aah
31,Love Grows (Where My Rosemary Goes),Send One Your Love,Downtown Train,Ain't No Other Man,Find Your Love
32,SNOWBIRD,The Second Time Around,Rhythm Nation,"Dance, Dance",Alejandro
33,Hey There Lonely Girl,We Don't Talk Anymore,I'll Be Your Everything,Gold Digger,Ridin' Solo
34,Come And Get It,Stomp,Everything,Money Maker,Just A Dream
35,Turn Back The Hands Of Time,Heartache Tonight,Back To Life,Ms. New Booty,How Low
36,In The Summertime,Tired Of Toein' The Line,Here And Now,(When You Gonna) Give It Up To Me,Like A G6
37,Indiana Wants Me,Better Love Next Time,Alright,Photograph,Carry Out
38,(I Know) I'm Losing You,Him,Ice Ice Baby,Because Of You,Haven't Met You Yet
39,"Easy Come, Easy Go",On The Radio,Blame It On The Rain,Stickwitu,Club Can't Handle Me
40,Still Water (Love),Emotional Rescue,Have You Seen Her,I'm N Luv (Wit A Stripper),Down
41,Make Me Smile,Rise,With Every Beat Of My Heart,My Humps,Bulletproof
42,House Of The Rising Sun,All Out Of Love,Come Back To Me,Where'd You Go,Whatcha Say
43,25 Or 6 To 4,Cool Change,No More Lies,Yo (Excuse Me Miss),Baby
44,My Baby Loves Lovin',You're Only Lonely,Praying For Time,Walk Away,Whataya Want From Me
45,United We Stand,Desire,How Can We Be Lovers,Laffy Taffy,Mine
46,We've Only Just Begun,Let My Love Open The Door,Do You Remember?,What You Know,Only Girl (In The World)
47,Arizona,Romeo's Tune,Ready Or Not,Dirty Little Secret,Live Like We're Dying
48,Fire And Rain,Daydream Believer,U Can't Touch This,Savin' Me,Hard
49,Groovy Situation,I Can't Tell You Why,I Wish It Would Rain Down,Don't Forget About Us,Young Forever
50,Evil Ways,Don't Let Go,Just Between You And Me,Sexy Love,Blah Blah Blah
51,No Time,She's Out Of My Life,Something Happened On The Way To Heaven,U And Dat,Bottoms Up
52,The Wonder Of You/Mama Liked The Roses,Fame,Black Cat,Far Away,Do You Remember
53,Up Around The Bend/Run Through The Jungle,How Do I Make You,Can't Stop,What's Left Of Me,All The Right Moves
54,I Just Can't Help Believing,Into The Night,Janie's Got A Gun,So What,According To You
55,Mississippi Queen,Let Me Love You Tonight,The Humpty Dance,Do It To It,My Chick Bad
56,I Want To Take You Higher,Misunderstanding,I'll Be Your Shelter,Black Horse & The Cherry Tree,You Belong With Me
57,Yellow River,An American Dream,Free Fallin',There It Go! (The Whistle Song),Meet Me Halfway
58,Somebody's Been Sleeping,One Fine Day,Giving You The Benefit,Shoulder Lean,Take It Off
59,Lay A Little Lovin' On Me,DIM ALL THE LIGHTS,Enjoy The Silence,Unpredictable,Over
60,Up The Ladder To The Roof,You May Be Right,Love Song,My Love,Animal
61,Travelin' Band/Who'll Stop The Rain,Should've Never Let You Go,Price Of Love,Shake That,Misery
62,Psychedelic Shack,Pilot Of The Airwaves,Girls Nite Out,Pullin' Me Back,Magic
63,Without Love (There Is Nothing),Hurt So Bad,What Kind Of Man Would I Be?,Bossy,Paparazzi
64,Woodstock,Off The Wall,I Remember You,Chain Hang Low,Tie Me Down
65,I'll Never Fall In Love Again,I Pledge My Love,Get Up! (Before The Night Is Over),Smack That,Your Love
66,The Thrill Is Gone,The Long Run,Here We Are,One Wish,Party In The U.S.A.
67,It's Only Make Believe,Stand By Me,Epic,"Sugar, We're Goin' Down",Deuces
68,Call Me,Heartbreaker,Love Takes Time,Gimme That,3
69,Song,Drivin' My Life Away,Just Like Jesse James,I Know You See It,Impossible
70,Song,Take The Long Way Home,All Or Nothing,Who Says You Can't Go Home,Forever
71,Song,Sara,Romeo,Too Little Too Late,Two Is Better Than One
72,Song,Jo Jo,Everybody Everybody,Touch It,My First Kiss
73,Song,September Morn',I Go To Extremes,Rompe,Already Gone
74,Song,Give Me The Night,Whip Appeal,Deja Vu,Rock That Body
75,Song,Broken Hearted Me,Oh Girl,Life Is A Highway,Secrets
76,Song,You Decorated My Life,(It's Just) The Way That You Love Me,Call Me When You're Sober,Naturally
77,Song,TUSK,We Can't Go Wrong,"Jesus, Take The Wheel",Un-Thinkable (I'm Ready)
78,Song,I Wanna Be Your Lover,When I'm Back On My Feet Again,Show Stopper,All I Do Is Win
79,Song,In America,Make You Sweat,Get Up,I Made It (Cash Money Heroes)
80,Song,Breakdown Dead Ahead,This One's For The Children,We Be Burnin',Stuck Like Glue
81,Song,Ships,What It Takes,Hate Me,Hey Daddy (Daddy's Home)
82,Song,All Night Long,Forever,You And Me,There Goes My Baby
83,Song,Song,Jerk Out,Beep,Today Was A Fairytale
84,Song,Song,Just A Friend,I Think They Like Me,Say Something
85,Song,Song,Without You,Say Goodbye,Sweet Dreams
86,Song,Song,Swing The Mood,Waiting On The World To Change,Use Somebody
87,Song,Song,Thieves In The Temple,Soul Survivor,Undo It
88,Song,Song,Mentirosa,Pump It,Eenie Meenie
89,Song,Song,Tic-Tac-Toe,When I'm Gone,Right Above It
90,Song,Song,Song,Hung Up,The House That Built Me
91,Song,Song,Song,Stay Fly,If I Die Young
92,Song,Song,Song,Love,The Only Exception
93,Song,Song,Song,When You're Mad,American Honey
94,Song,Song,Song,Why You Wanna,King Of Anything
95,Song,Song,Song,Stupid Girls,Life After You
96,Song,Song,Song,Feel Good Inc,Smile
97,Song,Song,Song,I'm Sprung,Teach Me How To Dougie
98,Song,Song,Song,Do I Make You Proud,Try Sleeping With A Broken Heart
99,Song,Song,Song,For You I Will (Confidence),"Lover, Lover"
100,Joy To The World,Bette Davis Eyes,Bad Day,Bad Day,Rolling In The Deep
101,Maggie May/Reason To Believe,Lady,Temperature,Temperature,Party Rock Anthem
