,Title,Artist,Energy,Tempo,Danceability,Instrumentalness,Valence
0,Imagine - Remastered 2010,John Lennon,0.257,75.752,0.547,0.183,0.169
1,A Whiter Shade Of Pale,Procol Harum,0.66,149.813,0.249,0.0026,0.435
2,My Sweet Lord,George Harrison,0.685,120.965,0.537,0.0,0.542
3,God Only Knows - Remastered,The Beach Boys,0.487,117.072,0.521,0.0,0.483
4,Bridge Over Troubled Water,Simon & Garfunkel,0.206,79.764,0.149,0.000649,0.264
5,Bohemian Rhapsody - Remastered 2011,Queen,0.404,71.105,0.414,0.0,0.224
6,Stairway to Heaven - Remaster,Led Zeppelin,0.34,82.433,0.338,0.0032,0.197
7,All Along the Watchtower,Jimi Hendrix,0.805,113.253,0.438,5.69e-05,0.564
8,Hotel California - 2013 Remaster,Eagles,0.508,147.125,0.579,0.000494,0.609
9,Heroes - Single Version; 2014 Remaster,David Bowie,0.681,112.16,0.502,0.107,0.584
10,In the Ghetto,Elvis Presley,0.415,87.907,0.477,0.00356,0.418
11,Johnny B. Goode - Single Version,Chuck Berry,0.889,169.895,0.493,7.21e-05,0.97
12,Alive,Pearl Jam,0.875,75.009,0.284,0.000461,0.595
13,Let It Be - Remastered,The Beatles,0.403,143.462,0.443,0.0,0.41
14,Viva La Vida,Coldplay,0.617,138.015,0.486,3.23e-06,0.417
15,Paranoid,Black Sabbath,0.631,162.734,0.429,0.00411,0.376
16,I Heard It Through The Grapevine,Marvin Gaye,0.324,116.855,0.729,0.0,0.679
17,Smells Like Teen Spirit,Nirvana,0.912,116.761,0.502,0.000173,0.72
18,Life on Mars? - 2015 Remaster,David Bowie,0.384,123.281,0.442,7.7e-05,0.216
19,You Can't Always Get What You Want - Single Version,The Rolling Stones,0.67,90.689,0.312,4.82e-05,0.5
20,Every Breath You Take - Remastered 2003,The Police,0.452,117.401,0.82,0.00294,0.74
21,Tears in Heaven,Eric Clapton,0.242,153.744,0.498,0.536,0.312
22,Like a Rolling Stone,Bob Dylan,0.721,95.261,0.483,0.0,0.562
23,One,U2,0.536,90.358,0.511,0.00265,0.357
24,Light My Fire,The Doors,0.725,124.618,0.413,2.16e-05,0.44
25,Creep,Radiohead,0.43,91.841,0.515,0.000141,0.104
26,A Day In The Life - Remastered,The Beatles,0.457,163.219,0.364,0.000106,0.175
27,Layla,Derek & The Dominos,0.653,114.363,0.415,0.469,0.234
28,Ring of Fire,Johnny Cash,0.517,104.563,0.661,0.000158,0.676
29,(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,The Rolling Stones,0.853,136.282,0.725,0.127,0.904
30,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers,0.673,78.535,0.649,0.0351,0.587
31,Waterloo Sunset - Mono Version,The Kinks,0.55,107.557,0.579,0.0,0.474
32,Sunshine Of Your Love,Cream,0.481,115.078,0.684,6.57e-05,0.784
33,Be My Baby,The Ronettes,0.769,129.657,0.511,0.0,0.818
34,Unchained Melody,The Righteous Brothers,0.199,98.97,0.376,0.0,0.247
35,Stand by Me,Ben E. King,0.232,119.136,0.632,4.95e-06,0.673
36,Your Song,Elton John,0.27,128.221,0.551,7.04e-06,0.289
37,"Oh, Pretty Woman",Roy Orbison,0.582,127.297,0.608,0.0,0.952
38,Heart of Gold - 2009 Remaster,Neil Young,0.459,171.165,0.541,0.0274,0.803
39,Billie Jean,Michael Jackson,0.457,117.002,0.932,0.0436,0.884
40,Crazy - Single Version,Patsy Cline,0.021,107.765,0.471,1.19e-06,0.356
