,Title,Artist,Energy,Tempo,Danceability,Instrumentalness,Valence,Cluster
0,Imagine - Remastered 2010,John Lennon,0.257,75.752,0.547,0.183,0.16899999999999998,3
1,A Whiter Shade Of Pale,Procol Harum,0.66,149.813,0.249,0.0026,0.435,5
2,My Sweet Lord,George Harrison,0.685,120.965,0.537,0.0,0.542,1
3,God Only Knows - Remastered,The Beach Boys,0.48700000000000004,117.072,0.521,0.0,0.483,1
4,Bridge Over Troubled Water,Simon & Garfunkel,0.20600000000000002,79.764,0.149,0.0006490000000000001,0.264,3
5,Bohemian Rhapsody - Remastered 2011,Queen,0.40399999999999997,71.105,0.414,0.0,0.22399999999999998,3
6,Stairway to Heaven - Remaster,Led Zeppelin,0.34,82.43299999999999,0.33799999999999997,0.0032,0.19699999999999998,3
7,All Along the Watchtower,Jimi Hendrix,0.805,113.25299999999999,0.43799999999999994,5.6899999999999994e-05,0.564,7
8,Hotel California - 2013 Remaster,Eagles,0.508,147.125,0.579,0.0004940000000000001,0.609,2
9,Heroes - Single Version; 2014 Remaster,David Bowie,0.6809999999999999,112.16,0.502,0.107,0.584,7
10,In the Ghetto,Elvis Presley,0.415,87.90700000000001,0.47700000000000004,0.0035600000000000002,0.418,3
11,Johnny B. Goode - Single Version,Chuck Berry,0.889,169.895,0.493,7.209999999999999e-05,0.97,2
12,Alive,Pearl Jam,0.875,75.009,0.284,0.00046100000000000004,0.595,7
13,Let It Be - Remastered,The Beatles,0.40299999999999997,143.46200000000002,0.44299999999999995,0.0,0.41,5
14,Viva La Vida,Coldplay,0.617,138.015,0.486,3.23e-06,0.41700000000000004,1
15,Paranoid,Black Sabbath,0.631,162.734,0.429,0.00411,0.376,5
16,I Heard It Through The Grapevine,Marvin Gaye,0.324,116.855,0.7290000000000001,0.0,0.679,0
17,Smells Like Teen Spirit,Nirvana,0.912,116.76100000000001,0.502,0.000173,0.72,7
18,Life on Mars? - 2015 Remaster,David Bowie,0.384,123.281,0.442,7.7e-05,0.21600000000000003,5
19,You Can't Always Get What You Want - Single Version,The Rolling Stones,0.67,90.689,0.312,4.8200000000000006e-05,0.5,7
20,Every Breath You Take - Remastered 2003,The Police,0.452,117.40100000000001,0.82,0.00294,0.74,0
21,Tears in Heaven,Eric Clapton,0.242,153.744,0.498,0.536,0.312,4
22,Like a Rolling Stone,Bob Dylan,0.721,95.26100000000001,0.483,0.0,0.562,7
23,One,U2,0.536,90.35799999999999,0.511,0.00265,0.35700000000000004,3
24,Light My Fire,The Doors,0.725,124.618,0.413,2.1600000000000003e-05,0.44,1
25,Creep,Radiohead,0.43,91.84100000000001,0.515,0.00014099999999999998,0.10400000000000001,3
26,A Day In The Life - Remastered,The Beatles,0.457,163.219,0.364,0.000106,0.175,5
27,Layla,Derek & The Dominos,0.653,114.363,0.415,0.469,0.23399999999999999,4
28,Ring of Fire,Johnny Cash,0.517,104.56299999999999,0.6609999999999999,0.00015800000000000002,0.6759999999999999,0
29,(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,The Rolling Stones,0.853,136.282,0.725,0.127,0.904,6
30,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers,0.6729999999999999,78.535,0.649,0.0351,0.5870000000000001,7
31,Waterloo Sunset - Mono Version,The Kinks,0.55,107.557,0.579,0.0,0.474,1
32,Sunshine Of Your Love,Cream,0.48100000000000004,115.07799999999999,0.684,6.57e-05,0.784,0
33,Be My Baby,The Ronettes,0.769,129.657,0.511,0.0,0.818,6
34,Unchained Melody,The Righteous Brothers,0.19899999999999998,98.97,0.376,0.0,0.247,3
35,Stand by Me,Ben E. King,0.23199999999999998,119.13600000000001,0.632,4.95e-06,0.6729999999999999,0
36,Your Song,Elton John,0.27,128.221,0.551,7.04e-06,0.289,5
37,"Oh, Pretty Woman",Roy Orbison,0.5820000000000001,127.29700000000001,0.608,0.0,0.9520000000000001,6
38,Heart of Gold - 2009 Remaster,Neil Young,0.45899999999999996,171.165,0.541,0.0274,0.8029999999999999,2
39,Billie Jean,Michael Jackson,0.457,117.00200000000001,0.932,0.0436,0.884,0
40,Crazy - Single Version,Patsy Cline,0.021,107.765,0.47100000000000003,1.19e-06,0.35600000000000004,3
41,Whole Lotta Love - 1990 Remaster,Led Zeppelin,0.902,89.74,0.41200000000000003,0.131,0.42200000000000004,7
42,Purple Haze,Jimi Hendrix,0.905,108.9,0.5329999999999999,0.578,0.486,4
43,If You Leave Me Now,Chicago,0.564,104.212,0.429,0.000828,0.276,3
44,Purple Rain,Prince,0.452,113.066,0.36700000000000005,0.00228,0.18899999999999997,3
45,Don't Stop Believin',Journey,0.748,118.852,0.5,0.0,0.514,1
46,For What It's Worth,Buffalo Springfield,0.519,98.883,0.653,0.0209,0.8220000000000001,0
47,Dancing Queen,ABBA,0.87,100.804,0.5429999999999999,0.0009390000000000001,0.754,7
48,You've Lost That Lovin' Feelin',The Righteous Brothers,0.305,94.921,0.365,0.0,0.39799999999999996,3
